gen,best,avg,median,worst,feasible_count,hard_feasible_count,soft_penalty_count,A_count,B_count,C_count,individuals_with_B,individuals_with_C,individuals_all_A,b_success,b_infeasible,b_repaired,c_success,c_infeasible,c_repaired,best_A_count,best_B_count,best_C_count,truck_distance,uav_distance,energy,plan_completion_time,air_ground_reward,penalty,elapsed,avg_B_candidate_score,b_candidate_accepted_count,b_decoded_success_count,b_failure_reasons,b_gene_count_in_population,b_individual_count,best_B_candidate_score,c_candidate_accepted_count,c_decoded_success_count,c_failure_reasons,c_gene_count_in_population,closure_route_cost,delay_cost,drone_reuse_penalty,early_stop_reason,early_stop_triggered,energy_cost,final_return_penalty,infeasible_penalty,last_improvement_gen,min_fitness,mutation_b_added,mutation_b_removed,no_improvement_count,orders_where_B_feasible,population_size,raw_truck_distance,raw_uav_distance,repair_penalty,residual_cost,seconds_per_generation,station_queue_penalty,time_cost,total_fitness,truck_distance_cost,uav_distance_cost,unserved_penalty,waiting_cost
0,2393.5106203188,248771.79780185217,211019.0626992082,602654.7803935639,22,22,58,470,148,182,51,44,15,52,96,0,83,99,75,10,0,0,22774.592522296574,0.0,341.61888783444857,2051.8917324843515,0.0,0,18.523854732513428,-672.6162109838984,52,52,{'payload_exceed': 96},148,51,-960.5401741261053,83,83,"{'drone_not_at_independent_node': 56, 'payload_exceed': 43}",182,0.0,0.0,0.0,,False,341.61888783444857,0.0,0.0,0,2393.5106203188,0,0,0,"['ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",80,22774.592522296574,0.0,0.0,0.0,0.0,0.0,2051.8917324843515,2393.5106203188,0.0,0.0,0.0,0.0
1,2393.5106203188,117533.95524399255,103482.43301254025,402121.921079468,19,19,61,599,117,84,55,43,13,59,58,0,52,32,43,10,0,0,22774.592522296574,0.0,341.61888783444857,2051.8917324843515,0.0,0,20.855884790420532,-893.5913549184261,59,59,{'payload_exceed': 58},117,55,-960.5401741261053,52,52,"{'drone_not_at_independent_node': 14, 'payload_exceed': 18}",84,0.0,0.0,0.0,,False,341.61888783444857,0.0,0.0,0,2393.5106203188,22,9,1,"['ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",80,22774.592522296574,0.0,0.0,0.0,2.3320889472961426,0.0,2051.8917324843515,2393.5106203188,0.0,0.0,0.0,0.0
2,1948.7267175448685,65107.85013973232,10246.282499801968,402708.24916338985,22,22,58,636,85,79,50,54,13,57,28,0,59,20,50,8,1,1,17428.427835122795,11241.384512071156,262.70457436309124,1657.2308604576667,1000.0,1000.5,23.326172828674316,-202.7832374068168,57,57,{'payload_exceed': 28},85,50,-948.0293703734695,59,59,"{'payload_exceed': 14, 'drone_not_at_independent_node': 6}",79,0.0,0.0,0.0,,False,262.70457436309124,0.0,0.0,2,1948.7267175448685,48,13,0,"['ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09']",80,17428.427835122795,11241.384512071156,1000.0,-2.2737367544323206e-13,2.4703030586242676,0.5,1657.2308604576667,1948.7267175448685,0.0,0.0,0.0,28.29128272411043
3,1948.7267175448685,62869.16086707961,9226.215935352742,303348.8586858617,24,24,56,668,56,76,39,53,16,32,24,0,53,23,50,8,1,1,17428.427835122795,11241.384512071156,262.70457436309124,1657.2308604576667,1000.0,1000.5,25.7185378074646,-662.0900594642889,32,32,{'payload_exceed': 24},56,39,-941.3830965380506,53,53,"{'payload_exceed': 14, 'drone_not_at_independent_node': 9}",76,0.0,0.0,0.0,,False,262.70457436309124,0.0,0.0,2,1948.7267175448685,76,17,1,"['ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09']",80,17428.427835122795,11241.384512071156,1000.0,-2.2737367544323206e-13,2.392375946044922,0.5,1657.2308604576667,1948.7267175448685,0.0,0.0,0.0,28.29128272411043
4,1886.952811616693,40297.75044670977,4307.135723008774,203352.63046263656,23,23,57,680,45,75,37,56,14,30,15,0,61,14,53,9,1,0,25542.738847380344,5870.147974948781,383.3584575702286,2420.6715910920107,1000.0,0,28.180310010910034,-880.5372421176594,30,30,{'payload_exceed': 15},45,37,-941.3830965380506,61,61,"{'payload_exceed': 10, 'drone_not_at_independent_node': 4}",75,0.0,0.0,0.0,,False,383.3584575702286,0.0,0.0,4,1886.952811616693,98,22,0,"['ORD-STATIC-01', 'ORD-STATIC-04', 'ORD-STATIC-05']",80,25542.738847380344,5870.147974948781,0.0,0.0,2.4617671966552734,0.0,2420.6715910920107,1886.952811616693,0.0,0.0,0.0,82.92276295445379
5,946.6595487867814,54394.638437731504,5289.491192964451,205715.286363417,14,14,66,636,60,104,48,66,4,44,16,0,79,25,67,6,2,2,25739.141620741466,22460.732512618506,388.67539646298155,2438.634091824622,2000.0,0,30.56563091278076,-747.498906065673,44,44,{'payload_exceed': 16},60,48,-941.3830965380506,79,79,"{'payload_exceed': 15, 'drone_not_at_independent_node': 10}",104,0.0,0.0,0.0,,False,388.67539646298155,0.0,0.0,5,946.6595487867814,119,25,0,"['ORD-STATIC-01', 'ORD-STATIC-04', 'ORD-STATIC-05']",80,25739.141620741466,22460.732512618506,0.0,2.2737367544323206e-13,2.3853201866149902,0.0,2438.634091824622,946.6595487867814,0.0,0.0,0.0,119.35006049917786
6,946.6595487867814,53229.16114531425,4089.0091899776344,302529.622303871,18,18,62,604,81,115,56,64,4,67,14,0,89,26,64,6,2,2,25739.141620741466,22460.732512618506,388.67539646298155,2438.634091824622,2000.0,0,32.8914577960968,-875.0758310395655,67,67,{'payload_exceed': 14},81,56,-951.5601024586774,89,89,"{'payload_exceed': 16, 'drone_not_at_independent_node': 10}",115,0.0,0.0,0.0,,False,388.67539646298155,0.0,0.0,5,946.6595487867814,142,32,1,"['ORD-STATIC-01', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-10']",80,25739.141620741466,22460.732512618506,0.0,2.2737367544323206e-13,2.3257977962493896,0.0,2438.634091824622,946.6595487867814,0.0,0.0,0.0,119.35006049917786
7,597.3623819890295,63397.26513134199,7693.593560788747,302308.25114384695,22,22,58,578,109,113,62,60,3,90,19,0,84,29,62,6,2,2,21621.650352507742,21143.989783900986,326.86941046629306,2141.396605438433,2000.0,0,35.23286485671997,-871.626864323115,90,90,{'payload_exceed': 19},109,62,-955.392224174688,84,84,"{'payload_exceed': 12, 'drone_not_at_independent_node': 17}",113,0.0,0.0,0.0,,False,326.86941046629306,0.0,0.0,7,597.3623819890295,169,38,0,"['ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09']",80,21621.650352507742,21143.989783900986,0.0,-4.547473508864641e-13,2.3414061069488525,0.0,2141.396605438433,597.3623819890295,0.0,0.0,0.0,129.09636608430338
8,597.3623819890295,70496.0085915376,101564.0207148993,208506.5192730179,16,16,64,580,105,115,61,68,4,83,22,0,83,32,59,6,2,2,21621.650352507742,21143.989783900986,326.86941046629306,2141.396605438433,2000.0,0,37.555367946624756,-780.3815999126014,83,83,{'payload_exceed': 22},105,61,-980.8819249740593,83,83,"{'payload_exceed': 19, 'drone_not_at_independent_node': 13}",115,0.0,0.0,0.0,,False,326.86941046629306,0.0,0.0,7,597.3623819890295,191,48,1,"['ORD-STATIC-01', 'ORD-STATIC-04', 'ORD-STATIC-05']",80,21621.650352507742,21143.989783900986,0.0,-4.547473508864641e-13,2.322510004043579,0.0,2141.396605438433,597.3623819890295,0.0,0.0,0.0,129.09636608430338
9,597.3623819890295,55571.69244953175,4590.7162885134985,401179.40042919124,22,22,58,569,124,107,67,67,4,106,18,0,83,24,53,6,2,2,21621.650352507742,21143.989783900986,326.86941046629306,2141.396605438433,2000.0,0,39.95773386955261,-890.3819377526629,106,106,{'payload_exceed': 18},124,67,-943.4083680414182,83,83,"{'payload_exceed': 17, 'drone_not_at_independent_node': 7}",107,0.0,0.0,0.0,,False,326.86941046629306,0.0,0.0,7,597.3623819890295,212,61,2,"['ORD-STATIC-01', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09']",80,21621.650352507742,21143.989783900986,0.0,-4.547473508864641e-13,2.402372121810913,0.0,2141.396605438433,597.3623819890295,0.0,0.0,0.0,129.09636608430338
10,537.9676886650736,49527.217881464196,5319.452953548788,302097.08180032205,26,26,54,538,149,113,75,70,1,133,16,0,92,21,53,6,2,2,21480.34003203539,22088.691189023855,324.78139645191595,2099.5688110148076,2000.0,0,42.45017695426941,-854.5649094107183,133,133,{'payload_exceed': 16},149,75,-962.7166545804874,92,92,"{'drone_not_at_independent_node': 13, 'payload_exceed': 8}",113,0.0,0.0,0.0,,False,324.78139645191595,0.0,0.0,10,537.9676886650736,232,73,0,"['ORD-STATIC-01', 'ORD-STATIC-04', 'ORD-STATIC-05']",80,21480.34003203539,22088.691189023855,0.0,0.0,2.4924099445343018,0.0,2099.5688110148076,537.9676886650736,0.0,0.0,0.0,113.61748119835025
11,280.1880748836129,60178.791694712534,7464.5917991883125,204490.44607397,24,24,56,513,157,130,75,73,1,138,19,0,103,27,54,6,3,1,27761.97066934716,20186.297968019928,418.00589304114084,2684.2025821598113,3000.0,0,44.807331800460815,-871.902088967999,138,138,{'payload_exceed': 19},157,75,-956.645752140153,103,103,"{'payload_exceed': 12, 'drone_not_at_independent_node': 15}",130,0.0,0.0,0.0,,False,418.00589304114084,0.0,0.0,11,280.1880748836129,254,91,0,"['ORD-STATIC-01', 'ORD-STATIC-04', 'ORD-STATIC-05']",80,27761.97066934716,20186.297968019928,0.0,-9.094947017729282e-13,2.3571720123291016,0.0,2684.2025821598113,280.1880748836129,0.0,0.0,0.0,177.9795996826615
12,256.50940064245333,62162.82396916025,54366.52918705,301294.98848694406,26,26,54,502,165,133,77,71,0,151,14,0,99,34,41,6,3,1,31045.30289874241,16965.492474238374,467.2409747541762,2683.784025388453,3000.0,0,47.15957283973694,-896.2145595535097,151,151,{'payload_exceed': 14},165,77,-956.645752140153,99,99,"{'payload_exceed': 21, 'drone_not_at_independent_node': 13}",133,0.0,0.0,0.0,,False,467.2409747541762,0.0,0.0,12,256.50940064245333,271,112,0,"['ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05']",80,31045.30289874241,16965.492474238374,0.0,0.0,2.352241039276123,0.0,2683.784025388453,256.50940064245333,0.0,0.0,0.0,105.48440049982437
13,109.56722949081768,53270.64278157725,2791.3845442754678,300479.2849065951,32,32,48,501,169,130,79,68,0,155,14,0,103,27,49,6,3,1,27407.43481746569,17872.44497486872,412.72957775298033,2574.977502007595,3000.0,0,49.464120864868164,-899.7682518784259,155,155,{'payload_exceed': 14},169,79,-956.645752140153,103,103,"{'payload_exceed': 16, 'drone_not_at_independent_node': 11}",130,0.0,0.0,0.0,,False,412.72957775298033,0.0,0.0,13,109.56722949081768,288,128,0,"['ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05']",80,27407.43481746569,17872.44497486872,0.0,0.0,2.3045291900634766,0.0,2574.977502007595,109.56722949081768,0.0,0.0,0.0,121.86014973024228
14,109.56722949081768,64445.626453121135,6820.442173818659,301981.217256385,28,28,52,491,184,125,79,72,0,161,23,0,98,27,37,6,3,1,27407.43481746569,17872.44497486872,412.72957775298033,2574.977502007595,3000.0,0,51.767876863479614,-894.4729177594867,161,161,{'payload_exceed': 23},184,79,-963.5481145130055,98,98,"{'payload_exceed': 18, 'drone_not_at_independent_node': 9}",125,0.0,0.0,0.0,,False,412.72957775298033,0.0,0.0,13,109.56722949081768,316,142,1,"['ORD-STATIC-01', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09']",80,27407.43481746569,17872.44497486872,0.0,0.0,2.303766965866089,0.0,2574.977502007595,109.56722949081768,0.0,0.0,0.0,121.86014973024228
